,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
115,enigma-project,11-Feb-18,2.84,2.98,2.39,2.65,"8,929,350","212,362,000",11-Feb
116,enjin-coin,11-Feb-18,0.150615,0.150615,0.129529,0.136464,"1,396,140","113,894,000",11-Feb
117,eos,11-Feb-18,9.09,9.09,8.17,8.41,"408,013,000","6,007,740,000",11-Feb
118,ethereum-classic,11-Feb-18,24.53,26,21.42,24.13,"378,189,000","2,447,400,000",11-Feb
119,ethereum-classic,11-Feb-17,1.26,1.29,1.23,1.24,"1,627,780","111,538,000",11-Feb
120,ethereum,11-Feb-18,859.29,859.29,788.22,814.66,"2,486,650,000","83,813,000,000",11-Feb
121,ethereum,11-Feb-17,11.29,11.43,11.24,11.35,"7,544,520","1,002,130,000",11-Feb
122,ethereum,11-Feb-16,4.5,6.29,4.34,6.01,"26,408,200","345,964,000",11-Feb
123,ethlend,11-Feb-18,0.085752,0.085752,0.075365,0.079319,"4,214,530","89,426,700",11-Feb
124,ethos,11-Feb-18,4.07,4.07,3.46,3.73,"2,112,290","307,962,000",11-Feb
125,experience-points,11-Feb-18,0.00086,0.00092,0.000729,0.00087,"877,780","183,924,000",11-Feb
126,factom,11-Feb-18,27.08,27.08,24.23,25.63,"4,492,130","236,834,000",11-Feb
127,factom,11-Feb-17,3.24,3.43,3.23,3.4,"242,932","28,377,800",11-Feb
128,factom,11-Feb-16,1.12,1.19,1.04,1.16,"565,058","9,825,610",11-Feb
129,funfair,11-Feb-18,0.057903,0.057903,0.050955,0.052265,"3,521,140","260,777,000",11-Feb
130,gamecredits,11-Feb-18,2.36,2.36,2.11,2.2,"1,054,510","151,781,000",11-Feb
131,gamecredits,11-Feb-17,0.234844,0.251211,0.230451,0.25003,"162,859","14,228,300",11-Feb
132,gamecredits,11-Feb-16,0.008758,0.008769,0.007579,0.008286,"5,114","454,266",11-Feb
133,gamecredits,11-Feb-15,0.000846,0.001001,0.00078,0.000782,239,"37,781",11-Feb
134,gas,11-Feb-18,40.05,40.74,35.78,38.36,"3,755,470","387,958,000",11-Feb
135,genesis-vision,11-Feb-18,14.52,14.64,12.9,13.69,"886,702","54,098,500",11-Feb
136,gifto,11-Feb-18,0.257858,0.480312,0.226832,0.366474,"92,554,900","40,705,700",11-Feb
137,gnosis-gno,11-Feb-18,142.52,142.52,131.36,135.31,"230,896","157,429,000",11-Feb
138,golem-network-tokens,11-Feb-18,0.337617,0.347617,0.307662,0.328429,"3,995,460","281,661,000",11-Feb
139,golem-network-tokens,11-Feb-17,0.0257,0.027653,0.025111,0.025369,"23,038","21,074,200",11-Feb
140,gulden,11-Feb-18,0.164859,0.164859,0.15519,0.157481,"146,968","64,611,100",11-Feb
141,gulden,11-Feb-17,0.023998,0.025681,0.023732,0.023802,"3,652","8,161,320",11-Feb
142,gulden,11-Feb-16,0.001917,0.002016,0.001842,0.001872,"1,176","561,278",11-Feb
143,gulden,11-Feb-15,0.001385,0.001621,0.001317,0.001568,"1,739","292,318",11-Feb
144,gxshares,11-Feb-18,4.72,5.05,4.31,4.63,"17,959,000","283,490,000",11-Feb
145,high-performance-blockchain,11-Feb-18,5.83,5.97,5.47,5.75,"4,927,150","129,578,000",11-Feb
146,hshare,11-Feb-18,11.98,12.09,10.94,11.23,"43,560,800","510,309,000",11-Feb
147,html-coin,11-Feb-18,0.00171,0.00171,0.001495,0.001548,"331,684","111,161,000",11-Feb
148,icon,11-Feb-18,4.04,4.15,3.42,3.8,"55,951,900","1,542,150,000",11-Feb
149,iconomi,11-Feb-18,1.62,1.62,1.47,1.53,"490,564","161,620,000",11-Feb
150,iconomi,11-Feb-17,0.441428,0.454236,0.425592,0.442643,"118,834","38,404,200",11-Feb
151,ignis,11-Feb-18,0.241159,0.241159,0.207924,0.220884,"7,665,200","183,556,000",11-Feb
152,ins-ecosystem,11-Feb-18,2.23,2.23,2,2.06,"12,072,900","62,520,900",11-Feb
153,ion,11-Feb-18,3.04,3.05,2.7,2.8,"543,452","59,715,500",11-Feb
154,ion,11-Feb-17,0.01867,0.028203,0.017978,0.028105,40,"200,042",11-Feb
155,iostoken,11-Feb-18,0.039615,0.039615,0.033519,0.035152,"50,003,200","269,148,000",11-Feb
156,iot-chain,11-Feb-18,2.37,2.72,2.12,2.22,"12,246,500","90,927,200",11-Feb
157,iota,11-Feb-18,1.86,1.86,1.62,1.7,"45,356,200","5,165,180,000",11-Feb
158,jibrel-network,11-Feb-18,0.598606,0.599795,0.538989,0.571619,"9,449,060","89,790,900",11-Feb
